,Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
439,https://github.com/makiftutuncu/exchange,d612711036ac76b5eea43ec2d1fa49d649166809,.,dev.akif.exchange.rate.impl.RateControllerTest.gettingRatesReturnsRates,ID,Accepted,https://github.com/makiftutuncu/exchange/pull/2,
505,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.createPokemon,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
506,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.getAllPokemon,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
507,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.getPokemonByIdWhenExists,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
508,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.getRandomPokemon,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
509,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.getTopBaseExperiencePokemon,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
510,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.getTopHeightPokemon,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
511,https://github.com/pazzesko/pokemon-alea,bd33e139d8e162c7d96811451d45b3f45963470c,application,com.example.pokemonalea.application.service.PokemonControllerTest.getTopWeightPokemon,ID,Accepted,https://github.com/pazzesko/pokemon-alea/pull/1,
512,https://github.com/platan/idea-gradle-dependencies-formatter,4e67d4b7466032af1f683afb56f7e118cfa7d615,.,"com.github.platan.idea.dependencies.MavenToGradleConverterTest.""maven dependency with two unsupported elements""",ID,Accepted,https://github.com/platan/idea-gradle-dependencies-formatter/pull/172,
546,https://github.com/Silverpeas/Silverpeas-Setup,6e3b5a66375f8b6ae177edfe06115376c3bfa681,.,org.silverpeas.setup.installation.SilverpeasInstallationTaskTest.testInstall,OD-Brit,Accepted,https://github.com/Silverpeas/Silverpeas-Setup/pull/29,
576,https://github.com/stleary/JSON-java,11c29c366de87fc3be38d26f2f0dac96ce28312e,.,org.json.junit.XMLTest.shouldCreateExplicitEndTagWithEmptyValueWhenConfigured,ID,Accepted,https://github.com/stleary/JSON-java/pull/828,
577,https://github.com/stleary/JSON-java,11c29c366de87fc3be38d26f2f0dac96ce28312e,.,org.json.junit.XMLTest.shouldNotCreateExplicitEndTagWithEmptyValueWhenNotConfigured,ID,Accepted,https://github.com/stleary/JSON-java/pull/828,
578,https://github.com/tehlers/gradle-duplicate-classes-check,4754962bc8df030289c77f347f10790d600a27a8,.,net.idlestate.gradle.duplicates.CheckDuplicateClassesEngineTest.testExcludeJarFiles,ID,Accepted,https://github.com/tehlers/gradle-duplicate-classes-check/pull/15,
579,https://github.com/tehlers/gradle-duplicate-classes-check,4754962bc8df030289c77f347f10790d600a27a8,.,net.idlestate.gradle.duplicates.CheckDuplicateClassesEngineTest.testSearchForDuplicates,ID,Accepted,https://github.com/tehlers/gradle-duplicate-classes-check/pull/15,
582,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.events.AnalyticsIncorporationComponentEventSerializationTest.testEventFiltering,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2718,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
583,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.events.AnalyticsIncorporationComponentEventSerializationTest.testMixinNoCopy,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2718,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
584,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.events.tincan.json.LrsDataModelSerializeTest.testLrsActorSerialize,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2718,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
585,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.events.tincan.json.LrsDataModelSerializeTest.testLrsObjectSerialize,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2718,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
586,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.events.tincan.json.LrsDataModelSerializeTest.testLrsStatementSerialize,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2718,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
587,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.io.xml.IdentityImportExportTest.testStylesheetDescriptor40ImportExport,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2732,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
588,https://github.com/uPortal-Project/uPortal,07ed2f81400b93ee70937bec7aa309f653a0552f,uPortal-webapp,org.apereo.portal.redirect.PortletRedirectionControllerTest.testExternalUrl,ID,Accepted,https://github.com/uPortal-Project/uPortal/pull/2719,"please use ""--nondexRuns=50 -x autoLintGradle"" to make sure you can reproduce test flakiness"
591,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.EntityToSchemaMapperTest.testLink,ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/41,
592,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.EntityToSchemaMapperTest.testMapAsDataItem,ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/41,
593,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.EntityToSchemaMapperTest.testMapAsExposed,ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/41,
594,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.EntityToSchemaMapperTest.testMapAsLinks,ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/41,
595,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.EntityToSchemaMapperTest.testUriTemplate,ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/41,
596,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[10],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
597,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[11],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
598,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[12],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
599,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[13],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
600,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[14],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
601,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[15],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
602,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[16],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
603,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[1],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
604,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[2],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
605,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[3],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
606,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[4],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
607,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[5],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
608,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[6],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
609,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[7],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
610,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[8],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
611,https://github.com/vlsergey/spring-data-rest-utils,eb109367f8dea9eae8a2b8951ab5942a90a0ea2a,.,io.github.vlsergey.springdatarestutils.ToOpenApiActionImplTest.test(String)[9],ID,Accepted,https://github.com/vlsergey/spring-data-rest-utils/pull/42,
612,https://github.com/wkgcass/vjson,436a655efa6a86cca8f96f43375db3b2c25373dc,.,vjson.TestInterpreterSamplePrograms.collections,ID,Accepted,https://github.com/wkgcass/vjson/pull/1,modify `build.gradle.kts` as https://drive.google.com/file/d/1d2OzNjqUmdJXL9aog3xAaIbjd9BIvw6Z/view?usp=sharing
624,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_0Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
625,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_1Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
626,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_2Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
627,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_3Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
628,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_5Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
629,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_6Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
630,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_7Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
631,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_8Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
632,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.descriptor.Xsd1_9Test.testGenerate,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
633,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_0Test.testDeploy,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
634,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_0Test.testExports,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
635,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_0Test.testMake,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
636,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_0Test.testModuleTag,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
637,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_0Test.testResources,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
638,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_1Test.testDependencies,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
639,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_1Test.testDeploy,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
640,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_1Test.testExports,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
641,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_1Test.testMake,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
642,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_1Test.testModuleTag,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
643,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_1Test.testResources,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
644,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testDependencies,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
645,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testDeploy,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
646,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testExports,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
647,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testMake,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
648,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testModuleTag,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
649,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testPermissionsTag,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
650,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_2Test.testResources,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
651,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_3Test.testDependencies,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
652,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_3Test.testDeploy,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
653,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_3Test.testExports,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
654,https://github.com/zhurlik/gradle-jboss-modules-plugin,f50903d5dbc9be8901dfccdd0c09f9cf1b8933a7,.,com.github.zhurlik.extension.JBossModule1_3Test.testMake,ID,Accepted,https://github.com/zhurlik/gradle-jboss-modules-plugin/pull/7,
